Order_Date,Product,Category,Quantity,Price,Profit
2023-01-01 00:00:00.000000000,Keyboard,Accessories,5,38658,30887
2023-01-02 19:53:58.190954773,Mouse,Accessories,5,55386,32366
2023-01-04 15:47:56.381909547,Headphones,Accessories,3,47691,14315
2023-01-06 11:41:54.572864321,Headphones,Accessories,5,1269,1004
2023-01-08 07:35:52.763819095,Tablet,Electronics,2,5811,2310
2023-01-10 03:29:50.954773869,Laptop,Electronics,4,20269,10435
2023-01-11 23:23:49.145728643,Keyboard,Accessories,1,41934,5945
2023-01-13 19:17:47.336683417,Mobile,Electronics,4,3247,1363
2023-01-15 15:11:45.527638191,Tablet,Electronics,3,2399,914
2023-01-17 11:05:43.718592965,Laptop,Electronics,3,4056,1717
2023-01-19 06:59:41.909547738,Mouse,Accessories,1,15002,779
2023-01-21 02:53:40.100502512,Laptop,Electronics,4,43521,29813
2023-01-22 22:47:38.291457286,Laptop,Electronics,2,3112,526
2023-01-24 18:41:36.482412060,Keyboard,Accessories,4,59322,33576
2023-01-26 14:35:34.673366834,Headphones,Accessories,1,27031,2090
2023-01-28 10:29:32.864321608,Keyboard,Accessories,2,1521,389
2023-01-30 06:23:31.055276382,Mobile,Electronics,4,41257,9026
2023-02-01 02:17:29.246231156,Mobile,Electronics,2,6175,2357
2023-02-02 22:11:27.437185930,Tablet,Electronics,4,33106,24932
2023-02-04 18:05:25.628140703,Tablet,Electronics,4,1516,1177
2023-02-06 13:59:23.819095477,Mouse,Accessories,5,9029,5911
2023-02-08 09:53:22.010050251,Mobile,Electronics,1,21743,3066
2023-02-10 05:47:20.201005025,Mouse,Accessories,1,38544,6565
2023-02-12 01:41:18.391959799,Laptop,Electronics,1,41274,4685
2023-02-13 21:35:16.582914573,Laptop,Electronics,4,3195,649
2023-02-15 17:29:14.773869347,Headphones,Accessories,3,40004,18806
2023-02-17 13:23:12.964824121,Headphones,Accessories,1,13166,804
2023-02-19 09:17:11.155778894,Mobile,Electronics,1,52751,9466
2023-02-21 05:11:09.346733668,Keyboard,Accessories,2,52756,6281
2023-02-23 01:05:07.537688442,Tablet,Electronics,5,31318,21718
2023-02-24 20:59:05.728643216,Tablet,Electronics,3,43030,15598
2023-02-26 16:53:03.919597990,Mouse,Accessories,3,53492,25396
2023-02-28 12:47:02.110552764,Tablet,Electronics,3,54140,25434
2023-03-02 08:41:00.301507538,Mobile,Electronics,2,23919,3166
2023-03-04 04:34:58.492462312,Laptop,Electronics,4,54768,27665
2023-03-06 00:28:56.683417086,Tablet,Electronics,5,40842,28724
2023-03-07 20:22:54.874371860,Headphones,Accessories,5,34327,32855
2023-03-09 16:16:53.065326633,Headphones,Accessories,3,52809,28844
2023-03-11 12:10:51.256281407,Mobile,Electronics,5,43057,31218
2023-03-13 08:04:49.447236181,Tablet,Electronics,4,30223,10005
2023-03-15 03:58:47.638190955,Keyboard,Accessories,3,18547,9521
2023-03-16 23:52:45.829145729,Keyboard,Accessories,1,44762,8326
2023-03-18 19:46:44.020100503,Laptop,Electronics,1,1806,206
2023-03-20 15:40:42.211055277,Keyboard,Accessories,5,55516,26569
2023-03-22 11:34:40.402010050,Tablet,Electronics,3,29820,10978
2023-03-24 07:28:38.592964824,Laptop,Electronics,3,14045,4240
2023-03-26 03:22:36.783919598,Headphones,Accessories,1,53415,5584
2023-03-27 23:16:34.974874372,Laptop,Electronics,2,18175,3190
2023-03-29 19:10:33.165829146,Mobile,Electronics,3,24164,5234
2023-03-31 15:04:31.356783920,Laptop,Electronics,3,27236,16054
2023-04-02 10:58:29.547738694,Keyboard,Accessories,5,39123,36431
2023-04-04 06:52:27.738693468,Headphones,Accessories,2,22056,5444
2023-04-06 02:46:25.929648242,Tablet,Electronics,4,53162,34925
2023-04-07 22:40:24.120603015,Headphones,Accessories,1,25842,4405
2023-04-09 18:34:22.311557789,Mouse,Accessories,4,41045,23810
2023-04-11 14:28:20.502512563,Headphones,Accessories,1,28348,2781
2023-04-13 10:22:18.693467337,Tablet,Electronics,5,26870,18625
2023-04-15 06:16:16.884422110,Headphones,Accessories,4,7046,4415
2023-04-17 02:10:15.075376884,Headphones,Accessories,4,3411,879
2023-04-18 22:04:13.266331658,Laptop,Electronics,1,18843,2035
2023-04-20 17:58:11.457286432,Mobile,Electronics,1,2302,232
2023-04-22 13:52:09.648241206,Laptop,Electronics,2,47754,12532
2023-04-24 09:46:07.839195980,Mobile,Electronics,3,17146,7664
2023-04-26 05:40:06.030150754,Mobile,Electronics,1,16871,2183
2023-04-28 01:34:04.221105528,Mobile,Electronics,1,38691,7537
2023-04-29 21:28:02.412060302,Mouse,Accessories,5,30355,22002
2023-05-01 17:22:00.603015076,Laptop,Electronics,1,52822,8190
2023-05-03 13:15:58.793969850,Headphones,Accessories,4,6795,3008
2023-05-05 09:09:56.984924624,Laptop,Electronics,4,13374,10182
2023-05-07 05:03:55.175879398,Keyboard,Accessories,4,58097,11939
